Date,Temperature (°C),Humidity (%)
2025-06-10 12:00:01,24.84,77.2
2025-06-10 12:10:01,25.74,68.3
2025-06-10 12:20:01,26.03,60.5
2025-06-10 12:30:01,25.83,64.9
2025-06-10 12:40:01,25.54,62.2
2025-06-10 12:50:01,25.54,63.9
2025-06-10 13:00:01,25.64,66.7
2025-06-10 13:10:01,25.93,61.4
2025-06-10 13:20:01,26.23,53.9
2025-06-10 13:30:01,26.53,56.8
2025-06-10 13:40:01,26.63,46.6
2025-06-10 13:50:01,26.82,53.1
2025-06-10 14:00:01,26.92,47.2
2025-06-10 14:10:01,26.73,52.5
2025-06-10 14:20:01,26.92,48.2
2025-06-10 14:30:01,26.82,48.6
2025-06-10 14:40:01,26.82,50.3
2025-06-10 14:50:01,26.63,49
2025-06-10 15:00:01,26.43,50.6
2025-06-10 15:10:01,26.13,49.5
2025-06-10 15:20:01,25.44,49.8
2025-06-10 15:30:01,24.84,53.8
2025-06-10 15:40:01,24.75,47.9
2025-06-10 15:50:01,24.55,52
2025-06-10 16:00:01,23.95,50.7
2025-06-10 16:10:01,23.85,51.8
2025-06-10 16:20:01,23.66,49.6
2025-06-10 16:30:01,23.56,48.6
2025-06-10 16:40:01,23.26,49.9
2025-06-10 16:50:01,23.16,49.2
2025-06-10 17:00:01,23.06,52.4
2025-06-10 17:10:01,22.86,51.4
2025-06-10 17:20:01,22.77,52.4
2025-06-10 17:30:01,22.57,51.3
2025-06-10 17:40:01,22.67,51.5
2025-06-10 17:50:01,22.47,52.6
2025-06-10 18:00:01,22.27,50.6
2025-06-10 18:10:01,22.07,51.8
2025-06-10 18:20:01,21.78,49.6
2025-06-10 18:30:01,21.58,51.1
2025-06-10 18:40:01,21.38,50.6
2025-06-10 18:50:01,21.18,52.1
2025-06-10 19:00:01,21.18,53.8
2025-06-10 19:10:01,21.08,52.3
2025-06-10 19:20:01,20.98,54.5
2025-06-10 19:30:01,20.79,54.8
2025-06-10 19:40:01,20.59,55.3
2025-06-10 19:50:01,20.29,57
2025-06-10 20:00:01,19.99,58.7
2025-06-10 20:10:01,19.99,57.6
2025-06-10 20:20:01,19.60,59.8
2025-06-10 20:30:01,19.30,60.7
2025-06-10 20:40:01,19.00,62.9
2025-06-10 20:50:01,18.90,64
2025-06-10 21:00:01,18.61,64.8
2025-06-10 21:10:01,18.21,64
2025-06-10 21:20:01,17.91,66
2025-06-10 21:30:01,17.62,68
2025-06-10 21:40:01,17.42,69.5
2025-06-10 21:50:01,17.22,69.7
2025-06-10 22:00:01,17.02,71.3
2025-06-10 22:10:01,16.83,72
